,Cycle,Subject,activation / control,Behavior,Event_Type,Time_Relative_sf,Duration_sf
131,3cycle,C,activation,Approach hands to food (from tray),State point,73.2905,0
132,3cycle,C,activation,Approach hands to food (from tray),State point,81.1654,0
133,3cycle,C,activation,Approach hands to food (from tray),State point,88.9152,0
134,3cycle,C,activation,Approach hands to food (from tray),State point,91.1235,0
135,3cycle,C,activation,Approach hands to food (from tray),State point,105.748,0
136,3cycle,C,activation,Approach hands to food (from tray),State point,107.415,0
137,3cycle,C,activation,Approach hands to food (from tray),State point,116.581,0
138,3cycle,C,activation,Approach hands to food (from tray),State point,128.456,0
139,3cycle,C,activation,Approach hands to food (from tray),State point,132.581,0
140,3cycle,C,activation,Approach hands to food (from tray),State point,142.949,0
141,3cycle,C,activation,Approach hands to food (from tray),State point,156.714,0
142,3cycle,C,activation,Approach hands to food (from tray),State point,178.039,0
143,3cycle,C,activation,Approach hands to food (from tray),State point,186.039,0
144,3cycle,C,activation,Approach hands to food (from tray),State point,189.997,0
145,3cycle,C,activation,Approach hands to food (from tray),State point,192.414,0
146,3cycle,C,activation,Approach hands to food (from tray),State point,217.83,0
147,3cycle,C,activation,Approach hands to food (from tray),State point,219.955,0
148,3cycle,C,activation,Approach hands to food (from tray),State point,225.496,0
149,3cycle,C,activation,Approach hands to food (from tray),State point,229.413,0
150,3cycle,C,activation,Approach hands to food (from tray),State point,242.954,0
151,3cycle,C,activation,Approach hands to food (from tray),State point,248.496,0
152,3cycle,C,activation,Approach hands to food (from tray),State point,259.204,0
153,3cycle,C,activation,Approach hands to food (from tray),State point,270.829,0
154,3cycle,C,activation,Approach hands to food (from tray),State point,280.246,0
155,3cycle,C,activation,Approach hands to food (from tray),State point,289.287,0
156,3cycle,C,activation,Approach hands to food (from tray),State point,297.162,0
157,3cycle,C,activation,Approach hands to food (from tray),State point,310.162,0
158,3cycle,C,activation,Approach hands to food (from tray),State point,315.37,0
159,3cycle,C,activation,Approach hands to food (from tray),State point,324.62,0
160,3cycle,C,activation,Approach hands to food (from tray),State point,335.62,0
161,3cycle,C,activation,Approach hands to food (from tray),State point,342.703,0
162,3cycle,C,activation,Approach hands to food (from tray),State point,348.786,0
163,3cycle,C,activation,Approach hands to food (from tray),State point,354.536,0
164,3cycle,C,activation,Approach hands to food (from tray),State point,364.661,0
165,3cycle,C,activation,Approach hands to food (from tray),State point,369.744,0
166,3cycle,C,activation,Approach hands to food (from tray),State point,375.536,0
167,3cycle,C,activation,Approach hands to food (from tray),State point,389.785,0
168,3cycle,C,activation,Approach hands to food (from tray),State point,523.492,0
169,3cycle,C,activation,Approach hands to food (from tray),State point,548.283,0
170,3cycle,C,activation,Approach hands to food (from tray),State point,568.074,0
171,3cycle,C,activation,Approach hands to food (from tray),State point,604.865,0
172,3cycle,C,activation,Approach hands to food (from tray),State point,622.698,0
173,3cycle,C,activation,Approach hands to food (from tray),State point,672.406,0
174,3cycle,C,activation,Approach hands to food (from tray),State point,679.739,0
175,3cycle,C,activation,Approach hands to food (from tray),State point,685.943,0
176,3cycle,C,activation,Approach hands to food (from tray),State point,689.072,0
177,3cycle,C,activation,Approach hands to food (from tray),State point,698.405,0
178,3cycle,C,activation,Approach hands to food (from tray),State point,719.155,0
179,3cycle,C,activation,Approach hands to food (from tray),State point,778.654,0
180,3cycle,C,activation,Approach hands to food (from tray),State point,796.404,0
181,3cycle,C,activation,Approach hands to food (from tray),State point,827.195,0
182,3cycle,C,activation,Approach hands to food (from tray),State point,845.653,0
183,3cycle,C,activation,Approach hands to food (from tray),State point,848.153,0
184,3cycle,C,activation,Approach hands to food (from tray),State point,860.945,0
185,3cycle,C,activation,Approach hands to food (from tray),State point,880.319,0
186,3cycle,C,activation,Approach hands to food (from tray),State point,897.319,0
187,3cycle,C,activation,Approach hands to food (from tray),State point,956.776,0
188,3cycle,C,activation,Approach hands to food (from tray),State point,963.276,0
189,3cycle,C,activation,Approach hands to food (from tray),State point,972.026,0
190,3cycle,C,activation,Approach hands to food (from tray),State point,975.234,0
191,3cycle,C,activation,Approach hands to food (from tray),State point,983.609,0
192,3cycle,C,activation,Approach hands to food (from tray),State point,991.317,0
193,3cycle,C,activation,Approach hands to food (from tray),State point,1028.36,0
194,3cycle,C,activation,Approach hands to food (from tray),State point,1066.9,0
195,3cycle,C,control,Approach hands to food (from tray),State point,3.45828,0
196,3cycle,C,control,Approach hands to food (from tray),State point,4.70826,0
197,3cycle,C,control,Approach hands to food (from tray),State point,5.33325,0
198,3cycle,C,control,Approach hands to food (from tray),State point,7.54155,0
199,3cycle,C,control,Approach hands to food (from tray),State point,19.4842,0
200,3cycle,C,control,Approach hands to food (from tray),State point,20.7497,0
201,3cycle,C,control,Approach hands to food (from tray),State point,35.9578,0
202,3cycle,C,control,Approach hands to food (from tray),State point,62.7907,0
203,3cycle,C,control,Approach hands to food (from tray),State point,97.1651,0
204,3cycle,C,control,Approach hands to food (from tray),State point,105.873,0
205,3cycle,C,control,Approach hands to food (from tray),State point,121.665,0
206,3cycle,C,control,Approach hands to food (from tray),State point,153.914,0
207,3cycle,C,control,Approach hands to food (from tray),State point,173.289,0
208,3cycle,C,control,Approach hands to food (from tray),State point,182.872,0
209,3cycle,C,control,Approach hands to food (from tray),State point,199.663,0
210,3cycle,C,control,Approach hands to food (from tray),State point,227.038,0
211,3cycle,C,control,Approach hands to food (from tray),State point,251.913,0
212,3cycle,C,control,Approach hands to food (from tray),State point,253.038,0
213,3cycle,C,control,Approach hands to food (from tray),State point,272.454,0
214,3cycle,C,control,Approach hands to food (from tray),State point,312.37,0
215,3cycle,C,control,Approach hands to food (from tray),State point,326.078,0
216,3cycle,C,control,Approach hands to food (from tray),State point,344.203,0
217,3cycle,C,control,Approach hands to food (from tray),State point,381.827,0
218,3cycle,C,control,Approach hands to food (from tray),State point,461.451,0
219,3cycle,C,control,Approach hands to food (from tray),State point,463.045,0
220,3cycle,C,control,Approach hands to food (from tray),State point,527.7,0
221,3cycle,C,control,Approach hands to food (from tray),State point,535.408,0
222,3cycle,C,control,Approach hands to food (from tray),State point,546.158,0
223,3cycle,C,control,Approach hands to food (from tray),State point,550.325,0
224,3cycle,C,control,Approach hands to food (from tray),State point,638.948,0
225,3cycle,C,control,Approach hands to food (from tray),State point,895.944,0
226,3cycle,C,control,Approach hands to food (from tray),State point,1004.03,0
227,3cycle,C,control,Approach hands to food (from tray),State point,1176.48,0
